Date Range,Case Receipts,All Decisions,Fear Established (Y),Fear Not Established (N),Closings
2024-07-16-2024-07-30,908,1547,369,294,884
2024-07-01-2024-07-15,1022,2646,1056,604,986
2024-06-16-2024-06-30,1656,6439,2322,1472,2645
2024-06-01-2024-06-15,5477,7118,3245,2492,1381
2024-05-16-2024-05-30,10054,9298,3922,3570,1806
2024-05-01-2024-05-15,9956,9217,4030,3777,1410
2024-04-16-2024-04-30,9333,10076,4343,3854,1879
2024-04-01-2024-04-15,8688,9436,4279,3604,1553
2024-03-16-2024-03-30,8394,12468,4898,3681,3889
2024-03-01-2024-03-15,9390,11328,4152,3244,3932
2024-02-16-2024-03-01,8701,9080,3317,3215,2548
2024-02-01-2024-02-15,9203,11428,3659,3523,4246
2024-01-16-2024-01-30,8993,11268,3475,3479,4314
2024-01-01-2024-01-15,6163,6826,3226,2149,1451
2023-12-16-2023-12-30,4519,5606,3259,1639,708
2023-12-01-2023-12-15,5665,9547,3590,2583,3374
2023-11-16-2023-11-30,6859,8549,3748,2528,2273
2023-11-01-2023-11-15,8227,9174,4684,2832,1658
2023-10-16-2023-10-30,11393,8622,4983,2791,848
2023-10-01-2023-10-15,9669,6359,3640,2003,716
2023-09-16-2023-09-30,7173,7322,4108,2228,986
2023-09-01-2023-09-15,11034,7526,4026,2453,1047
2023-08-16-2023-08-30,11767,8588,4528,3053,1007
2023-08-01-2023-08-15,8712,7714,4396,2575,743
2023-07-16-2023-07-30,8336,9041,5048,3134,858
2023-01-01-2023-01-15,"3,865","4,349","3,070","1,046",233
2023-01-01-2023-01-15,5665,9547,3590,2583,3374
2023-01-01-2023-01-15,"9,669","6,359","3,640","2,003",716
2023-01-01-2023-01-15,"3,923","2,541","1,772",621,148
2023-01-01-2023-01-15,"6,877","4,128","2,619","1,289",220
2023-01-01-2023-01-15,"6,298","4,721","3,103","1,405",213
2023-01-01-2023-01-15,4519,5606,3259,1639,708
2023-01-01-2023-01-15,"4,828","5,747","4,179","1,202",366
2023-01-01-2023-01-15,"4,965","5,335","4,093","1,056",186
2023-01-01-2023-01-15,8227,9174,4684,2832,1658
2023-01-01-2023-01-15,11393,8622,4983,2791,848
2023-01-01-2023-01-15,9669,6359,3640,2003,716
2023-01-01-2023-01-15,7173,7323,4108,2228,987
2023-01-01-2023-01-15,11034,7527,4026,2453,1048
2023-01-01-2023-01-15,11767,8588,4528,3053,1007
2023-01-01-2023-01-15,8712,7714,4396,2575,743
2023-01-01-2023-01-15,8336,9041,5048,3134,858
2023-01-01-2023-01-15,7944,8680,5175,2748,757
2023-01-01-2023-01-15,"5,665","9,544","3,587","2,583","3,374"
2023-01-01-2023-01-15,"4,519","5,606","3,259","1,639",708
2023-01-01-2023-01-15,"7,940","9,900","4,806","4,097",996
2023-01-01-2023-01-15,"11,393","8,622","4,983","2,791",848
2023-01-01-2023-01-15,"7,173","7,323","4,108","2,228",987
2023-01-01-2023-01-15,"11,034","7,527","4,026","2,453","1,048"
2023-01-01-2023-01-15,"11,767","8,588","4,528","3,053","1,007"
2023-01-01-2023-01-15,"8,712","7,714","4,396","2,575",743
2023-01-01-2023-01-15,"5,886","4,552","2,554","1,187",811
2023-01-01-2023-01-15,"8,336","9,041","5,048","3,134",858
2023-01-01-2023-01-15,"7,944","8,680","5,175","2,748",757
2023-01-01-2023-01-15,"9,245","8,239","4,536","2,881",822
2023-01-01-2023-01-15,"8,227","9,174","4,684","2,832","1,658"
2023-01-01-2023-01-15,"12,287","8,107","4,232","3,092",783
2023-01-01-2023-01-15,6859,8552,3748,2528,2276
2023-01-01-2023-01-15,"6,859","8,552","3,748","2,528","2,276"
2023-01-01-2023-01-15,"3,832","4,453","3,528",770,156
2023-01-01-2023-01-15,"3,686","4,656","3,240",856,560
2022-01-01-2022-01-15,"4,482","2,294","1,220",931,145
2022-01-01-2022-01-15,"3,426","3,273","1,702","1,482",89
2022-01-01-2022-01-15,"4,154","4,540","3,049","1,333",158
2022-01-01-2022-01-15,"2,612","4,621","3,312",893,416
2022-01-01-2022-01-15,"5,011","3,208","1,805","1,211",192
2022-01-01-2022-01-15,"3,182","3,431","2,416",829,186
2022-01-01-2022-01-15,"2,388","3,140","2,314",578,248
2022-01-01-2022-01-15,"3,511","2,683","1,457",911,315
2022-01-01-2022-01-15,"3,960","1,381",793,489,99
2022-01-01-2022-01-15,"1,891","2,019","1,424",519,110
2022-01-01-2022-01-15,"1,655","1,681","1,167",508,54
2022-01-01-2022-01-15,"1,044","1,410",895,504,38
2022-01-01-2022-01-15,"1,973","1,540","1,024",486,74
2022-01-01-2022-01-15,"1,965","1,488",882,504,130
2022-01-01-2022-01-15,"1,351","1,189",711,395,101
2022-01-01-2022-01-15,"2,610","1,122",612,478,49
2022-01-01-2022-01-15,"3,448",697,413,252,40
2022-01-01-2022-01-15,"2,227","1,384",918,439,54
2022-01-01-2022-01-15,"2,712","3,283","1,436",825,"1,022"
2022-01-01-2022-01-15,"2,430","2,818","1,393",852,573
2022-01-01-2022-01-15,"3,199","2,900","1,619","1,126",155
2022-01-01-2022-01-15,"3,511","2,709","1,471","1,135",103
2022-01-01-2022-01-15,"4,024","2,812","1,475","1,219",118
2022-01-01-2022-01-15,"3,809","3,033","1,646","1,190",197
2021-01-01-2021-01-15,"1,173",889,543,241,105
2021-01-01-2021-01-15,"3,571","3,192","2,093","1,096",53
2021-01-01-2021-01-15,"5,156","2,701","1,900",738,98
2021-01-01-2021-01-15,483,575,357,140,78
2021-01-01-2021-01-15,795,472,282,141,49
2021-01-01-2021-01-15,"1,330",742,500,191,51
2021-01-01-2021-01-15,"2,119","1,114",742,305,67
2021-01-01-2021-01-15,"3,115","1,769","1,114",440,215
2021-01-01-2021-01-15,"2,916","2,697","1,738",923,66
2021-01-01-2021-01-15,"2,737","1,398",900,398,100
2021-01-01-2021-01-15,"3,721","2,182","1,445",627,110
2021-01-01-2021-01-15,"3,719","2,284","1,602",591,99
2021-01-01-2021-01-15,"4,947","3,505","2,502",882,166
2021-01-01-2021-01-15,"4,313","3,324","2,314",951,115
2021-01-01-2021-01-15,"4,530","3,641","2,469",865,357
2021-01-01-2021-01-15,"4,005","3,975","2,810","1,076",155
2021-01-01-2021-01-15,"4,033","3,250","2,488",728,79
2021-01-01-2021-01-15,"4,674","3,825","2,801",988,94
2021-01-01-2021-01-15,"3,874","1,895","1,299",517,79
2021-01-01-2021-01-15,"2,850","3,393","2,244","1,128",69
2021-01-01-2021-01-15,"2,341","2,578","1,611",926,74
2021-01-01-2021-01-15,"3,495","4,040","2,653","1,352",91
2021-01-01-2021-01-15,"1,838","1,683","1,042",635,61
2021-01-01-2021-01-15,"4,615","3,181","2,069","1,077",78
2020-01-01-2020-01-15,399,240,123,82,35
2020-01-01-2020-01-15,"2,097","2,419",870,"1,198",351
2020-01-01-2020-01-15,205,214,97,89,28
2020-01-01-2020-01-15,283,251,134,89,28
2020-01-01-2020-01-15,"1,877","1,316",408,655,253
2020-01-01-2020-01-15,279,412,255,126,31
2020-01-01-2020-01-15,458,411,251,91,69
2020-01-01-2020-01-15,380,336,215,87,34
2020-01-01-2020-01-15,284,242,137,66,39
2020-01-01-2020-01-15,368,446,243,124,79
2020-01-01-2020-01-15,341,499,279,181,39
2020-01-01-2020-01-15,417,259,111,94,54
2020-01-01-2020-01-15,308,239,114,84,41
2020-01-01-2020-01-15,333,277,163,72,42
2020-01-01-2020-01-15,"2,901","2,373",800,"1,236",337
2020-01-01-2020-01-15,325,470,259,136,75
2020-01-01-2020-01-15,368,313,141,145,27
2020-01-01-2020-01-15,562,388,245,81,62
2020-01-01-2020-01-15,256,467,179,221,67
2020-01-01-2020-01-15,253,704,296,350,58
2020-01-01-2020-01-15,433,"1,002",464,463,75
2020-01-01-2020-01-15,"1,577","2,644",919,"1,356",369
2020-01-01-2020-01-15,"2,068","1,836",492,993,351
2020-01-01-2020-01-15,"2,532","2,121",622,"1,199",300
2019-01-01-2019-01-15,"2,167","4,022","2,428","1,153",441
2019-01-01-2019-01-15,"2,614","4,578","2,650","1,466",462
2019-01-01-2019-01-15,"1,776","2,076",789,"1,037",250
2019-01-01-2019-01-15,"1,689","3,048","1,202","1,520",326
2019-01-01-2019-01-15,"4,229","4,040","2,957",754,329
2019-01-01-2019-01-15,"3,680","5,916","3,903","1,388",625
2019-01-01-2019-01-15,"5,413","5,485","3,944","1,015",526
2019-01-01-2019-01-15,"6,456","4,334","2,882","1,049",403
2019-01-01-2019-01-15,"5,132","3,439","2,341",790,308
2019-01-01-2019-01-15,"4,855","5,239","3,866","1,019",354
2019-01-01-2019-01-15,"4,506","4,386","3,256",752,378
2019-01-01-2019-01-15,"3,216","3,408","1,556","1,366",486
2019-01-01-2019-01-15,"5,701","4,213","3,155",692,366
2019-01-01-2019-01-15,"4,022","4,065","3,091",574,400
2019-01-01-2019-01-15,"5,992","4,582","3,485",744,353
2019-01-01-2019-01-15,"3,460","3,967","3,017",528,422
2019-01-01-2019-01-15,"3,811","4,762","3,672",549,541
2019-01-01-2019-01-15,"3,328","2,831","2,153",283,395
2019-01-01-2019-01-15,"4,685","4,835","3,942",382,511
2019-01-01-2019-01-15,"5,582","4,379","3,501",393,485
2019-01-01-2019-01-15,"4,276","3,105","2,305",379,421
2019-01-01-2019-01-15,"1,900","1,874",743,889,242
2019-01-01-2019-01-15,"2,873","3,225","1,140","1,607",478
2019-01-01-2019-01-15,"2,470","2,346",921,"1,125",300
