"This report is current as of July 5, 2024 ",,,,,,,,,,,,,,,,,,,,,,,,,,
All Credible Fear Cases - Showing number of cases received and number of cases completed by outcome per semi-monthly period (1st - 15th and 16th - end of month)1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,6/16/2023,7/1/2023,7/16/2023,8/1/2023,8/16/2023,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024
To,,6/30/2023,7/15/2023,7/31/2023,8/15/2023,8/31/2023,9/15/2023,9/30/2023,10/15/2023,10/31/2023,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024
Case Receipts,,"9,245","7,944","8,336","8,712","11,767","11,034","7,173","9,669","11,393","8,227","6,859","5,665","4,519","6,163","8,993","9,203","8,701","9,390","8,394","8,688","9,333","9,956","10,054","5,502","1,704"
All Decisions,,"8,239","8,680","9,041","7,714","8,588","7,527","7,323","6,359","8,622","9,174","8,552","9,544","5,606","6,825","11,253","11,432","9,083","11,327","12,452","9,424","10,064","9,220","9,287","7,108","6,412"
Fear Established_Persecution (Y),,"2,617","3,098","2,946","2,510","2,583","2,472","2,539","2,124","2,682","2,582","2,163","2,107","1,920","1,816","1,844","2,057","1,891","2,320","2,847","2,522","2,568","2,462","2,343","1,948","1,345"
Fear Established_Torture (Y),,"1,919","2,077","2,102","1,886","1,945","1,554","1,569","1,516","2,301","2,102","1,585","1,480","1,339","1,407","1,631","1,599","1,422","1,831","2,042","1,747","1,770","1,565","1,575","1,285",952
Fear Not Established (N),,"2,881","2,748","3,134","2,575","3,053","2,453","2,228","2,003","2,791","2,832","2,528","2,583","1,639","2,149","3,476","3,523","3,215","3,243","3,676","3,601","3,852","3,776","3,563","2,491","1,463"
Administratively Closed,,822,757,858,743,"1,007","1,048",987,716,848,"1,658","2,276","3,374",708,"1,453","4,302","4,253","2,555","3,933","3,887","1,554","1,874","1,417","1,806","1,384","2,652"
Credible Fear Cases Subject to Third Country Transit Bar - Interim Final Rule2 (No Results. The specified criteria didn't result in any data.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,6/16/2023,7/1/2023,7/16/2023,8/1/2023,8/16/2023,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024
To,,6/30/2023,7/15/2023,7/31/2023,8/15/2023,8/31/2023,9/15/2023,9/30/2023,10/15/2023,10/31/2023,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024
Subject to Bar under 8 CFR 208.13(c)(4) - No Exception Established,Case Receipts, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,All Decisions, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Persecution (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Torture (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Not Established (N), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Subject to Bar under 8 CFR 208.13(c)(4) - Exception Established,Case Receipts, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,All Decisions, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Persecution (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Established_Torture (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Fear Not Established (N), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Credible Fear Cases at Family Residential Centers3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,6/16/2023,7/1/2023,7/16/2023,8/1/2023,8/16/2023,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024
To,,6/30/2023,7/15/2023,7/31/2023,8/15/2023,8/31/2023,9/15/2023,9/30/2023,10/15/2023,10/31/2023,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024
Case Receipts,,407,477,332,669,639,"1,081",720,766,306,489,69,422,281,859,875,705,658,540,376,372,781,759,776,521,16
All Decisions,,500,525,433,415,458,397,161,358,710,603,554,826,413,561,"1,144",846,697,871,730,563,587,631,570,489,669
Fear Established_Persecution (Y),,255,291,241,155,173,169,57,158,227,148,50,103,145,143,230,240,245,227,252,163,194,184,160,93,8
Fear Established_Torture (Y),,98,82,86,82,117,95,46,127,302,135,36,73,136,136,229,179,174,189,241,187,182,203,207,83,19
Fear Not Established (N),,121,133,79,140,144,105,41,68,172,193,43,40,101,224,406,228,167,199,138,196,198,225,168,77,20
Administratively Closed,,26,19,27,38,24,28,17,5,9,127,425,610,31,58,279,199,111,256,99,17,13,19,35,236,622
All Reasonable Fear Cases,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,6/16/2023,7/1/2023,7/16/2023,8/1/2023,8/16/2023,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024
To,,6/30/2023,7/15/2023,7/31/2023,8/15/2023,8/31/2023,9/15/2023,9/30/2023,10/15/2023,10/31/2023,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024
Case Receipts,,543,399,566,643,624,523,553,625,995,741,706,860,650,922,"1,200",778,487,720,675,672,683,675,623,410,454
All Decisions,,615,386,528,550,561,504,549,392,563,517,554,929,832,"1,038","1,243",903,548,599,780,712,670,648,584,549,426
Fear Established_Persecution (Y),,80,45,58,72,80,51,83,77,115,99,68,112,110,169,207,151,83,61,85,95,78,69,68,55,45
Fear Established_Torture (Y),,76,70,99,121,86,80,93,82,125,102,108,182,176,230,275,176,92,93,130,120,103,104,94,73,68
Fear Not Established (N),,325,184,251,229,258,183,251,157,198,201,199,317,388,470,483,369,216,239,287,299,308,319,261,258,195
Administratively Closed,,134,87,120,128,137,190,122,76,124,115,179,318,158,169,278,207,157,206,278,198,181,156,161,163,118
Reasonable Fear Cases at Family Residential Centers,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,6/16/2023,7/1/2023,7/16/2023,8/1/2023,8/16/2023,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024
To,,6/30/2023,7/15/2023,7/31/2023,8/15/2023,8/31/2023,9/15/2023,9/30/2023,10/15/2023,10/31/2023,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024
Case Receipts,,73,48,51,39,67,72,76,103,149,120,165,244,187,267,152,40,26,30,39,39,26,26,34,14,8
All Decisions,,108,49,51,46,48,45,96,62,97,69,79,80,300,380,289,98,25,27,40,44,36,22,22,29,11
Fear Established_Persecution (Y),,22,5,9,12,11,8,15,24,24,20,7,15,46,70,72,26,9,7,10,14,10,1,4,4,1
Fear Established_Torture (Y),,12,13,13,15,8,7,21,12,35,18,23,32,85,126,105,34,9,7,11,12,9,7,7,8,3
Fear Not Established (N),,66,22,26,16,25,23,50,23,34,19,29,15,141,175,96,33,6,8,14,16,11,12,7,13,6
Administratively Closed,,8,9,3,3,4,7,10,3,4,12,20,18,28,9,16,5,1,5,5,2,6,2,4,4,1
Credible Fear Cases Disaggregated by Adjudicator DHS Component and Occupational Series,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjudicator Component and Occupational Series,From,6/16/2023,7/1/2023,7/16/2023,8/1/2023,8/16/2023,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024
,To,6/30/2023,7/15/2023,7/31/2023,8/15/2023,8/31/2023,9/15/2023,9/30/2023,10/15/2023,10/31/2023,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024
"USCIS: GS-0930, GS-1801",All Decisions,"8,239","8,680","9,041","7,714","8,588","7,527","7,323","6,359","8,622","9,174","8,552","9,544","5,606","6,825","11,253","11,432","9,083","11,327","12,452","9,424","10,064","9,220","9,287","7,108","6,412"
,Fear Established_Persecution (Y),"2,617","3,098","2,946","2,510","2,583","2,472","2,539","2,124","2,682","2,582","2,163","2,107","1,920","1,816","1,844","2,057","1,891","2,320","2,847","2,522","2,568","2,462","2,343","1,948","1,345"
,Fear Established_Torture (Y),"1,919","2,077","2,102","1,886","1,945","1,554","1,569","1,516","2,301","2,102","1,585","1,480","1,339","1,407","1,631","1,599","1,422","1,831","2,042","1,747","1,770","1,565","1,575","1,285",952
,Fear Not Established (N),"2,881","2,748","3,134","2,575","3,053","2,453","2,228","2,003","2,791","2,832","2,528","2,583","1,639","2,149","3,476","3,523","3,215","3,243","3,676","3,601","3,852","3,776","3,563","2,491","1,463"
,Administratively Closed,822,757,858,743,"1,007","1,048",987,716,848,"1,658","2,276","3,374",708,"1,453","4,302","4,253","2,555","3,933","3,887","1,554","1,874","1,417","1,806","1,384","2,652"
"USCBP: GS-1895, GS-1896",All Decisions, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,Fear Established_Persecution (Y), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,Fear Established_Torture (Y), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,Fear Not Established (N), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Reasonable Fear Cases Disaggregated by Adjudicator DHS Component and Occupational Series,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjudicator Component and Occupational Series,From,6/16/2023,7/1/2023,7/16/2023,8/1/2023,8/16/2023,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024
,To,6/30/2023,7/15/2023,7/31/2023,8/15/2023,8/31/2023,9/15/2023,9/30/2023,10/15/2023,10/31/2023,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024
"USCIS: GS-0930, GS-1801",All Decisions,615,386,528,550,561,504,549,392,563,517,554,929,832,"1,038","1,243",903,548,599,780,712,670,648,584,549,426
,Fear Established_Persecution (Y),80,46,60,72,81,53,85,77,117,102,70,115,111,172,210,152,84,62,85,95,79,70,69,55,45
,Fear Established_Torture (Y),76,70,99,121,86,80,93,82,125,102,108,182,176,230,275,176,92,93,130,120,103,104,94,73,68
,Fear Not Established (N),340,197,264,245,271,199,267,171,217,217,212,330,404,495,506,387,224,252,300,314,323,335,270,263,198
