,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"This report is current as of August 5, 2024 ",,,,,,,,,,,,,,,,,,,,,,,,,,
All Credible Fear Cases - Showing number of cases received and number of cases completed by outcome per semi-monthly period (1st - 15th and 16th - end of month)1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,7/16/2023,8/1/2023,8/16/2023,9/1/2023,9/16/2023,10/1/2023,10/16/2023,11/1/2023,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024,7/16/2024
To,,7/31/2023,8/15/2023,8/31/2023,9/15/2023,9/30/2023,10/15/2023,10/31/2023,11/15/2023,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024,7/31/2024
Case Receipts,," 8,336 "," 8,712 "," 11,767 "," 11,034 "," 7,173 "," 9,669 "," 11,393 "," 8,227 "," 6,859 "," 5,665 "," 4,519 "," 6,163 "," 8,993 "," 9,203 "," 8,701 "," 9,390 "," 8,394 "," 8,688 "," 9,333 "," 9,956 "," 10,054 "," 5,477 "," 1,656 "," 1,022 ", 908 
All Decisions,," 9,041 "," 7,714 "," 8,588 "," 7,526 "," 7,322 "," 6,359 "," 8,622 "," 9,174 "," 8,549 "," 9,547 "," 5,606 "," 6,826 "," 11,268 "," 11,428 "," 9,080 "," 11,328 "," 12,468 "," 9,436 "," 10,076 "," 9,217 "," 9,298 "," 7,118 "," 6,439 "," 2,646 "," 1,547 "
Fear Established_Persecution (Y),," 2,946 "," 2,510 "," 2,583 "," 2,472 "," 2,539 "," 2,124 "," 2,682 "," 2,582 "," 2,163 "," 2,110 "," 1,920 "," 1,816 "," 1,844 "," 2,059 "," 1,892 "," 2,321 "," 2,855 "," 2,532 "," 2,570 "," 2,464 "," 2,347 "," 1,958 "," 1,364 ", 598 , 223 
Fear Established_Torture (Y),," 2,102 "," 1,886 "," 1,945 "," 1,554 "," 1,569 "," 1,516 "," 2,301 "," 2,102 "," 1,585 "," 1,480 "," 1,339 "," 1,410 "," 1,631 "," 1,600 "," 1,425 "," 1,831 "," 2,043 "," 1,747 "," 1,773 "," 1,566 "," 1,575 "," 1,287 ", 958 , 458 , 146 
Fear Not Established (N),," 3,134 "," 2,575 "," 3,053 "," 2,453 "," 2,228 "," 2,003 "," 2,791 "," 2,832 "," 2,528 "," 2,583 "," 1,639 "," 2,149 "," 3,479 "," 3,523 "," 3,215 "," 3,244 "," 3,681 "," 3,604 "," 3,854 "," 3,777 "," 3,570 "," 2,492 "," 1,472 ", 604 , 294 
Administratively Closed,, 858 , 743 ," 1,007 "," 1,047 ", 986 , 716 , 848 ," 1,658 "," 2,273 "," 3,374 ", 708 ," 1,451 "," 4,314 "," 4,246 "," 2,548 "," 3,932 "," 3,889 "," 1,553 "," 1,879 "," 1,410 "," 1,806 "," 1,381 "," 2,645 ", 986 , 884 
Credible Fear Cases Subject to Third Country Transit Bar - Interim Final Rule2 (No Results. The specified criteria didn't result in any data.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
